lab,title,slug,title_tag,meta_description,keywords,canonical,file
LAB-001,La URL que desaparece,/experimentos/la-url-que-desaparece,La URL que desaparece | Experimento LAB-001,"Cómo evitar que una URL rota destruya contexto y evidencia: redirecciones, archivo web y trazabilidad.","url rota, link rot, redirecciones 301, preservacion web, web archiving",https://laboratoryum.example/experimentos/la-url-que-desaparece,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-001/05-publicacion.md
LAB-012,La imagen que parece prueba,/experimentos/la-imagen-que-parece-prueba,La imagen que parece prueba | Experimento LAB-012,"Guía de verificación visual con procedencia, contexto y metadatos.","verificacion de imagenes, metadatos exif, imagen generada por ia, evidencia visual",https://laboratoryum.example/experimentos/la-imagen-que-parece-prueba,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-012/05-publicacion.md
LAB-013,La voz sin cuerpo,/experimentos/la-voz-sin-cuerpo,La voz sin cuerpo | Experimento LAB-013,Cómo evaluar voz clonada o sintética con trazabilidad técnica y contexto.,"voz clonada ia, autenticidad de audio, deepvoice, procedencia sonora",https://laboratoryum.example/experimentos/la-voz-sin-cuerpo,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-013/05-publicacion.md
LAB-014,El vídeo que ya no basta,/experimentos/el-video-que-ya-no-basta,El vídeo que ya no basta | Experimento LAB-014,Protocolo para verificar videos en la era deepfake sin caer en alarmismo.,"verificacion de video, deepfake detection, subtitulos alterados, confianza audiovisual",https://laboratoryum.example/experimentos/el-video-que-ya-no-basta,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-014/05-publicacion.md
LAB-015,La entrevista convertida en dato,/experimentos/la-entrevista-convertida-en-dato,La entrevista convertida en dato | Experimento LAB-015,Guía para transformar entrevistas en contenido sin empobrecer el testimonio.,"entrevista a resumen, perdida de matices, transcripcion responsable, cita contextual",https://laboratoryum.example/experimentos/la-entrevista-convertida-en-dato,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-015/05-publicacion.md
LAB-016,El dato que parece neutral,/experimentos/el-dato-que-parece-neutral,El dato que parece neutral | Experimento LAB-016,"Checklist para evitar falsa neutralidad en tablas, gráficos y titulares.","sesgo en visualizacion de datos, grafico engañoso, metodologia estadistica, data literacy",https://laboratoryum.example/experimentos/el-dato-que-parece-neutral,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-016/05-publicacion.md
LAB-017,El PDF que se resiste,/experimentos/el-pdf-que-se-resiste,El PDF que se resiste | Experimento LAB-017,"Comparativa PDF vs HTML para mejorar accesibilidad, indexación y reutilización.","pdf accesible, pdf vs html, extraccion de texto, lectura por ia",https://laboratoryum.example/experimentos/el-pdf-que-se-resiste,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-017/05-publicacion.md
LAB-018,El post que se desprende de su fuente,/experimentos/el-post-que-se-desprende-de-su-fuente,El post que se desprende de su fuente | Experimento LAB-018,"Cómo evitar que una idea se tergiverse al circular como post, captura o cita.","post descontextualizado, contenido en redes, fragmentacion de ideas, contexto de fuente",https://laboratoryum.example/experimentos/el-post-que-se-desprende-de-su-fuente,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-018/05-publicacion.md
LAB-019,La newsletter que desaparece,/experimentos/la-newsletter-que-desaparece,La newsletter que desaparece | Experimento LAB-019,"Modelo de archivo para newsletters con trazabilidad, acceso y citabilidad.","archivo de newsletter, email como fuente, citabilidad de boletines, memoria publica",https://laboratoryum.example/experimentos/la-newsletter-que-desaparece,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-019/05-publicacion.md
LAB-020,El formulario como conversación rota,/experimentos/el-formulario-como-conversacion-rota,El formulario como conversación rota | Experimento LAB-020,Guía para crear formularios responsables con mejor claridad y calidad de datos.,"ux de formularios, sesgo en campos, friccion de formulario, microcopy",https://laboratoryum.example/experimentos/el-formulario-como-conversacion-rota,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-020/05-publicacion.md
LAB-021,El archivo que no sabe qué contiene,/experimentos/el-archivo-que-no-sabe-que-contiene,El archivo que no sabe qué contiene | Experimento LAB-021,Plantilla de estructura mínima para que un archivo digital sea entendible y útil.,"organizacion documental, estructura de carpetas, metadatos minimos, archivo legible para ia",https://laboratoryum.example/experimentos/el-archivo-que-no-sabe-que-contiene,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-021/05-publicacion.md
LAB-022,La biografía que se convierte en fuente,/experimentos/la-biografia-que-se-convierte-en-fuente,La biografía que se convierte en fuente | LAB-022,"Cómo construir una biografía verificable para web, medios y sistemas IA.","biografia verificable, perfil profesional seo, identidad digital, bio para ia",https://laboratoryum.example/experimentos/la-biografia-que-se-convierte-en-fuente,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-022/05-publicacion.md
LAB-023,La obra fuera de contexto,/experimentos/la-obra-fuera-de-contexto,La obra fuera de contexto | Experimento LAB-023,Protocolo de ficha y contexto para obras culturales en circulación digital.,"ficha de obra, contexto artistico digital, citabilidad cultural, documentacion de obra",https://laboratoryum.example/experimentos/la-obra-fuera-de-contexto,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-023/05-publicacion.md
LAB-024,El mapa que decide la realidad,/experimentos/el-mapa-que-decide-la-realidad,El mapa que decide la realidad | Experimento LAB-024,"Cómo documentar un lugar con contexto social, histórico y verificable.","geodatos y sesgo de mapa, representacion de lugares, contexto espacial, cartografia digital",https://laboratoryum.example/experimentos/el-mapa-que-decide-la-realidad,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-024/05-publicacion.md
LAB-025,El testimonio que se convierte en prueba,/experimentos/el-testimonio-que-se-convierte-en-prueba,El testimonio que se convierte en prueba | LAB-025,"Guía para convertir testimonios en evidencia útil, verificable y contextualizada.","testimonio verificable, caso de exito con evidencia, reseñas confiables, trust signals",https://laboratoryum.example/experimentos/el-testimonio-que-se-convierte-en-prueba,/Users/soledadarismendi/Sites/Laboratoryum/CONTENIDO/LABORATORYUM-OPS/LAB-025/05-publicacion.md
